"gender_partner"	"gender_rater"	"age_rater"	"age_partner"	"attractive_partner"	"intelligence_partner"	"like_partner"	"age_diff"	"partner_older"	"matched"	"exp_num_match"
"M"	"F"	21	27	6	7	7	6	TRUE	FALSE	4
"M"	"F"	21	22	7	7	7	1	TRUE	FALSE	4
"M"	"F"	21	22	5	9	7	1	TRUE	TRUE	4
"M"	"F"	21	23	7	8	7	2	TRUE	TRUE	4
"M"	"F"	21	24	5	7	6	3	TRUE	TRUE	4
"M"	"F"	21	25	4	7	6	4	TRUE	FALSE	4
"M"	"F"	21	30	7	7	6	9	TRUE	FALSE	4
"M"	"F"	21	27	4	7	6	6	TRUE	FALSE	4
"M"	"F"	21	28	7	8	7	7	TRUE	TRUE	4
"M"	"F"	21	24	5	6	6	3	TRUE	FALSE	4
"M"	"F"	24	27	5	8	6	3	TRUE	FALSE	3
"M"	"F"	24	22	8	6	7	-2	FALSE	FALSE	3
"M"	"F"	24	22	5	9	6	-2	FALSE	FALSE	3
"M"	"F"	24	23	7	7	7	-1	FALSE	TRUE	3
"M"	"F"	24	24	6	7	8	0	FALSE	FALSE	3
"M"	"F"	24	25	8	8	6	1	TRUE	FALSE	3
"M"	"F"	24	30	7	9	8	6	TRUE	FALSE	3
"M"	"F"	24	27	5	7	5	3	TRUE	FALSE	3
"M"	"F"	24	28	7	8	5	4	TRUE	TRUE	3
"M"	"F"	24	24	6	8	8	0	FALSE	FALSE	3
"M"	"F"	23	27	4	8	6	4	TRUE	FALSE	2
"M"	"F"	23	22	8	8	8	-1	FALSE	FALSE	2
"M"	"F"	23	22	4	8	4	-1	FALSE	FALSE	2
"M"	"F"	23	23	8	7	8	0	FALSE	TRUE	2
"M"	"F"	23	24	6	8	7	1	TRUE	FALSE	2
"M"	"F"	23	25	5	8	4	2	TRUE	FALSE	2
"M"	"F"	23	30	7	10	5	7	TRUE	FALSE	2
"M"	"F"	23	27	5	9	6	4	TRUE	FALSE	2
"M"	"F"	23	28	9	10	8	5	TRUE	TRUE	2
"M"	"F"	23	24	8	10	10	1	TRUE	FALSE	2
"M"	"F"	23	27	6	7	6	4	TRUE	FALSE	4
"M"	"F"	23	22	6	9	7	-1	FALSE	FALSE	4
"M"	"F"	23	22	4	9	6	-1	FALSE	FALSE	4
"M"	"F"	23	23	8	7	9	0	FALSE	TRUE	4
"M"	"F"	23	24	5	8	4	1	TRUE	FALSE	4
"M"	"F"	23	25	3	6	2	2	TRUE	FALSE	4
"M"	"F"	23	30	8	8	8	7	TRUE	FALSE	4
"M"	"F"	23	27	4	9	5	4	TRUE	FALSE	4
"M"	"F"	23	28	7	8	9	5	TRUE	TRUE	4
"M"	"F"	23	24	8	9	9	1	TRUE	FALSE	4
"M"	"F"	22	27	4	8	7	5	TRUE	FALSE	2
"M"	"F"	22	22	6	8	7	0	FALSE	FALSE	2
"M"	"F"	22	22	3	8	7	0	FALSE	FALSE	2
"M"	"F"	22	23	7	8	8	1	TRUE	TRUE	2
"M"	"F"	22	24	4	7	5	2	TRUE	FALSE	2
"M"	"F"	22	25	4	7	5	3	TRUE	FALSE	2
"M"	"F"	22	30	7	8	8	8	TRUE	FALSE	2
"M"	"F"	22	27	5	8	5	5	TRUE	FALSE	2
"M"	"F"	22	28	6	8	6	6	TRUE	TRUE	2
"M"	"F"	22	24	8	7	7	2	TRUE	FALSE	2
"M"	"F"	26	27	8	9	5	1	TRUE	FALSE	1
"M"	"F"	26	22	10	10	10	-4	FALSE	TRUE	1
"M"	"F"	26	22	5	10	8	-4	FALSE	TRUE	1
"M"	"F"	26	23	10	8	7	-3	FALSE	TRUE	1
"M"	"F"	26	24	5	8	5	-2	FALSE	TRUE	1
"M"	"F"	26	25	8	9	6	-1	FALSE	TRUE	1
"M"	"F"	26	30	6	9	7	4	TRUE	TRUE	1
"M"	"F"	26	27	6	8	7	1	TRUE	FALSE	1
"M"	"F"	26	28	8	5	7	2	TRUE	TRUE	1
"M"	"F"	26	24	7	7	8	-2	FALSE	FALSE	1
"F"	"M"	27	21	6	8	7	-6	FALSE	FALSE	0
"F"	"M"	27	24	8	6	7	-3	FALSE	FALSE	0
"F"	"M"	27	25	7	6	5	-2	FALSE	FALSE	0
"F"	"M"	27	23	6	8	6	-4	FALSE	FALSE	0
"F"	"M"	27	21	6	8	6	-6	FALSE	FALSE	0
"F"	"M"	27	23	7	8	7	-4	FALSE	FALSE	0
"F"	"M"	27	22	7	8	7	-5	FALSE	FALSE	0
"F"	"M"	27	25	8	6	7	-2	FALSE	FALSE	0
"F"	"M"	27	26	6	7	6	-1	FALSE	FALSE	0
"F"	"M"	27	26	7	7	6	-1	FALSE	FALSE	0
"F"	"M"	22	21	7	10	8	-1	FALSE	FALSE	3
"F"	"M"	22	24	7	10	8	2	TRUE	FALSE	3
"F"	"M"	22	25	6	10	7	3	TRUE	FALSE	3
"F"	"M"	22	23	6	10	6	1	TRUE	FALSE	3
"F"	"M"	22	21	6	10	7	-1	FALSE	FALSE	3
"F"	"M"	22	23	6	10	7	1	TRUE	FALSE	3
"F"	"M"	22	22	7	10	8	0	FALSE	FALSE	3
"F"	"M"	22	25	8	10	9	3	TRUE	TRUE	3
"F"	"M"	22	26	8	10	8	4	TRUE	TRUE	3
"F"	"M"	22	26	1	1	1	4	TRUE	FALSE	3
"F"	"M"	25	21	7	8	7	-4	FALSE	FALSE	3
